dataset,method,regime,budget_per_class,metric,mean,ci_lower,ci_upper,n_subjects,sd,median,ci_level,bootstrap_resamples,figure_panel
Lee2019_MI,riemann_lr,subject,20,roc_auc,0.7232859259259259,0.6821572962962961,0.7658842962962963,54,0.1602648909929293,0.7098,0.95,2000,C
Lee2019_MI,riemann_lr,subject,40,roc_auc,0.7576214814814816,0.7169119259259259,0.7988311111111109,54,0.1595542333231829,0.7651399999999999,0.95,2000,C
Lee2019_MI,riemann_lr,source_plus_target,0,roc_auc,0.6867259259259261,0.6504290740740741,0.7240153703703706,54,0.1384736214716222,0.6676,0.95,2000,C
Lee2019_MI,riemann_lr,source_plus_target,5,roc_auc,0.6962133333333332,0.6596841851851852,0.7325906666666667,54,0.1382996396944787,0.6773,0.95,2000,C
Lee2019_MI,riemann_lr,source_plus_target,10,roc_auc,0.7035281481481482,0.6665037962962963,0.7406366111111109,54,0.1384334034026398,0.68048,0.95,2000,C
Lee2019_MI,riemann_lr,source_plus_target,20,roc_auc,0.7143866666666668,0.6768657037037037,0.7514355555555554,54,0.1389786817913194,0.68998,0.95,2000,C
Lee2019_MI,riemann_lr,source_plus_target,40,roc_auc,0.7302525925925925,0.692378185185185,0.7656352777777776,54,0.1395028883881023,0.7058200000000001,0.95,2000,C
BNCI2014_001,logvar_lda,subject,5,roc_auc,0.638124785665295,0.5440557484567901,0.7476833097565158,9,0.1627379694009967,0.5764274691358025,0.95,2000,D
BNCI2014_001,logvar_lda,subject,10,roc_auc,0.6729981138545953,0.5678365054869685,0.7861110039437584,9,0.1777487336748472,0.5812114197530864,0.95,2000,D
BNCI2014_001,logvar_lda,subject,20,roc_auc,0.6999078360768176,0.5932268089849109,0.8085597243655694,9,0.1797166923912484,0.6250385802469136,0.95,2000,D
BNCI2014_001,logvar_lda,subject,40,roc_auc,0.7284765089163238,0.6171996099108367,0.844561364026063,9,0.1862390243675922,0.6758487654320988,0.95,2000,D
BNCI2014_001,logvar_lda,source_plus_target,0,roc_auc,0.644954561042524,0.5637351037379973,0.7400248628257887,9,0.1471863948723812,0.6219135802469137,0.95,2000,D
BNCI2014_001,logvar_lda,source_plus_target,5,roc_auc,0.6588970336076817,0.5749356995884773,0.7508991340877914,9,0.1471963619656792,0.6328317901234568,0.95,2000,D
BNCI2014_001,logvar_lda,source_plus_target,10,roc_auc,0.6715320644718792,0.5870588991769548,0.7669985639574759,9,0.1456050389737504,0.6334297839506172,0.95,2000,D
BNCI2014_001,logvar_lda,source_plus_target,20,roc_auc,0.6883444787379972,0.6020066015089165,0.7837982788923182,9,0.1492564211395114,0.6715663580246913,0.95,2000,D
BNCI2014_001,logvar_lda,source_plus_target,40,roc_auc,0.7126521776406036,0.615374281978738,0.8147098979766804,9,0.1589388330879007,0.6819251543209877,0.95,2000,D
BNCI2014_001,csp_lda,subject,5,roc_auc,0.7084972993827161,0.6018653013545955,0.824199031207133,9,0.1787205058341586,0.6260609567901234,0.95,2000,E
BNCI2014_001,csp_lda,subject,10,roc_auc,0.7630765603566529,0.6492076581790124,0.8802616490912207,9,0.1922843266379992,0.7519483024691358,0.95,2000,E
BNCI2014_001,csp_lda,subject,20,roc_auc,0.8033543381344307,0.6928524198388203,0.910228802297668,9,0.1746602972924179,0.8188271604938272,0.95,2000,E
BNCI2014_001,csp_lda,subject,40,roc_auc,0.8226015946502058,0.7112951174554184,0.9235842656893004,9,0.1716517742890293,0.8700424382716049,0.95,2000,E
BNCI2014_001,csp_lda,source_plus_target,0,roc_auc,0.7374614197530865,0.6446544924554184,0.8340990440672152,9,0.1556618541279517,0.6763117283950617,0.95,2000,E
BNCI2014_001,csp_lda,source_plus_target,5,roc_auc,0.7438271604938271,0.6477560763888888,0.8440175968792867,9,0.1621853050848877,0.6762731481481481,0.95,2000,E
BNCI2014_001,csp_lda,source_plus_target,10,roc_auc,0.7516696673525377,0.6529640346364883,0.8527731159979424,9,0.1620655819279869,0.6841435185185185,0.95,2000,E
BNCI2014_001,csp_lda,source_plus_target,20,roc_auc,0.7652606310013718,0.6691037058470507,0.8641646304869682,9,0.1613032817682135,0.7493055555555556,0.95,2000,E
BNCI2014_001,csp_lda,source_plus_target,40,roc_auc,0.7916752400548696,0.6946399176954732,0.8878059627914949,9,0.1652743665987402,0.8090084876543211,0.95,2000,E
BNCI2014_001,riemann_lr,subject,5,roc_auc,0.731494341563786,0.6134991748113855,0.8481273576817556,9,0.1892065837102439,0.6412808641975308,0.95,2000,F
BNCI2014_001,riemann_lr,subject,10,roc_auc,0.7587770061728395,0.6461643197016461,0.8761659807956105,9,0.1881263672688706,0.6793016975308641,0.95,2000,F
BNCI2014_001,riemann_lr,subject,20,roc_auc,0.7853566529492455,0.6768019118655693,0.8879963455932784,9,0.1720988381907109,0.7241512345679013,0.95,2000,F
BNCI2014_001,riemann_lr,subject,40,roc_auc,0.808701989026063,0.7097460133744857,0.8957833933470508,9,0.154215241681374,0.7410493827160495,0.95,2000,F
BNCI2014_001,riemann_lr,source_plus_target,0,roc_auc,0.667502572016461,0.5846021947873801,0.75634966563786,9,0.1439167969677118,0.5906635802469137,0.95,2000,F
BNCI2014_001,riemann_lr,source_plus_target,5,roc_auc,0.6784872256515775,0.5958989197530865,0.771838348765432,9,0.14440298932523,0.625,0.95,2000,F
BNCI2014_001,riemann_lr,source_plus_target,10,roc_auc,0.690406378600823,0.6045426633230453,0.7824266975308641,9,0.1506227755939932,0.6713541666666667,0.95,2000,F
BNCI2014_001,riemann_lr,source_plus_target,20,roc_auc,0.7085648148148148,0.6175963970336076,0.7988810656721536,9,0.150985902249476,0.6907793209876543,0.95,2000,F
BNCI2014_001,riemann_lr,source_plus_target,40,roc_auc,0.7330118312757201,0.6407708547668038,0.8299254115226335,9,0.1565775598776027,0.7162422839506173,0.95,2000,F
